sample,point_name,width,thickness,E,Yield stress,Yield strain,Failure stress,Elongation,UTS
13,L,1.21,0.89,17740241001,502367907.9,0.0485,585941127.3,0.4016,736.8496
15,A,1.23,1.02,13775424792,475848876.1,0.0548,623306233.1,0.4813,860.6808
15,B,1.21,0.9,16165488229,517906336.1,0.052,581267217.6,0.4138,795.23
15,C,1.19,0.83,15649580577,546724714,0.0553,626708514.7,0.4534,735.4079
15,D,1.16,0.83,14319409747,532820938.9,0.0574,601371001.2,0.4524,720.8947
15,E,1.2,0.84,12651511039,502976190.5,0.0599,609126984.1,0.4646,724.9751
15,F,1.21,0.81,15272367332,530558106.3,0.0548,570349964.3,0.4643,696.1117
15,G,1.21,0.86,14952245802,451662502.4,0.0505,521814337.9,0.4999,708.2284
15,H,1.21,0.84,15452969944,497835497.8,0.0523,615899252.3,0.4483,713.047
15,I,1.17,0.8,16513985829,506410256.4,0.0508,564102564.1,0.4864,711.2824
15,J,1.17,0.84,15180310245,520960521,0.0543,594220594.2,0.46,716.7499
15,K,1.19,0.86,15444106456,574555403.6,0.0576,689857338.3,0.4813,785.1123
15,L,1.17,0.85,18400403185,561085972.9,0.0508,722976370,0.4468,761.653
16,A,1.22,1.01,16383467314,486933939.3,0.0498,522642428.2,0.4514,813.252
16,B,1.23,0.9,15656627152,485998193.3,0.0513,656729900.6,0.5049,733.7997
16,C,1.23,0.82,12302255537,520523497.9,0.0625,553242117.8,0.4532,720.0306
16,D,1.24,0.87,12962255244,460697070.8,0.0559,584909158.3,0.5263,755.3854
16,E,1.18,0.79,15687383640,537438318,0.0546,639347779.4,0.4697,692.3098
16,F,1.19,0.75,15226638041,553501400.6,0.0566,646498599.4,0.4895,665.0472
16,G,1.2,0.84,14493495858,524801587.3,0.0564,563492063.5,0.4717,739.6082
16,H,1.19,0.82,14767367793,543144086.9,0.0571,621028899.4,0.4308,702.21
16,I,1.2,0.8,19061667675,609375000,0.052,710416666.7,0.4798,860.537
16,J,1.23,0.95,13359323009,433889602.1,0.0526,524604193.4,0.4316,725.3213
16,K,1.21,0.95,15506106472,487168334.1,0.0518,574162679.4,0.4892,843.4849
16,L,1.19,0.96,15774879764,524334733.9,0.0533,645133053.2,0.4506,861.8824
